text,label
"Either my life follows my plan exactly or everything is falling apart.",All-or-nothing thinking
"If I'm not naturally talented at this, I'll never be good at it.",All-or-nothing thinking
"My project was either going to change the world or it was worthless.",All-or-nothing thinking
"If I don't feel passionate about my job every day, I'm in the wrong career.",All-or-nothing thinking
"Since she didn't laugh at my joke, she must think I'm not funny at all.",All-or-nothing thinking
"If I can't be the perfect partner, they're better off without me.",All-or-nothing thinking
"I either have everything figured out or I'm completely lost in life.",All-or-nothing thinking
"If one thing goes wrong today, the whole day is shot.",All-or-nothing thinking
"Either I win this competition or I'm a loser.",All-or-nothing thinking
"If my friends don't include me in everything, they don't really like me.",All-or-nothing thinking
"Since I couldn't keep my resolution, I have no willpower whatsoever.",All-or-nothing thinking
"If I'm not the top performer, I don't deserve to be on the team.",All-or-nothing thinking
"My life is either going great or it's a complete train wreck.",All-or-nothing thinking
"If I can't explain this perfectly, people will think I don't know what I'm talking about.",All-or-nothing thinking
"Either I feel completely safe or I'm in danger.",All-or-nothing thinking
"If I don't ace this interview, I'll be unemployed forever.",All-or-nothing thinking
"Since my last relationship ended badly, all my relationships will.",All-or-nothing thinking
"If I'm not making progress every single day, I'm falling behind.",All-or-nothing thinking
"I either have to do everything myself or nothing gets done right.",All-or-nothing thinking
"If I can't be the best version of myself today, why even bother getting out of bed.",All-or-nothing thinking
"Since I wasn't invited, clearly nobody wants me around.",All-or-nothing thinking
"If I show any emotion, people will think I'm unstable.",All-or-nothing thinking
"Either everything works out exactly as planned or my life is over.",All-or-nothing thinking
"If I can't commit fully, I shouldn't start at all.",All-or-nothing thinking
"My presentation was a total waste because I stumbled on one slide.",All-or-nothing thinking
"If I'm not their favorite, they probably don't even like me.",All-or-nothing thinking
"Since I failed at this one thing, I'm a failure as a person.",All-or-nothing thinking
"If I can't make everyone happy, I've let everyone down.",All-or-nothing thinking
"My dinner party was a disaster because the dessert didn't turn out right.",All-or-nothing thinking
"If I can't remember everything, my memory must be terrible.",All-or-nothing thinking
"I'm either extremely motivated or I can't do anything at all.",All-or-nothing thinking
"If I don't feel inspired, I can't create anything worthwhile.",All-or-nothing thinking
"Since I wasn't chosen for the role, I must have no talent.",All-or-nothing thinking
"If my plan doesn't work the first time, it's a bad plan.",All-or-nothing thinking
"I have to know everything about this topic or I shouldn't talk about it.",All-or-nothing thinking
"If I can't fix this problem completely, there's no point in trying to fix it partially.",All-or-nothing thinking
"Since my morning started badly, the rest of the day will be terrible too.",All-or-nothing thinking
"If I'm not always available for my friends, I'm a bad friend.",All-or-nothing thinking
"Either I look perfect or I shouldn't leave the house.",All-or-nothing thinking
"If my effort isn't appreciated, it was completely wasted.",All-or-nothing thinking
"Since I didn't get the scholarship, I'll never afford college.",All-or-nothing thinking
"If I can't be calm all the time, I have anger issues.",All-or-nothing thinking
"I'm either succeeding or I'm drowning, there's nothing in between.",All-or-nothing thinking
"If this conversation doesn't go well, our relationship is doomed.",All-or-nothing thinking
"Since the first chapter of my book isn't perfect, the whole thing is garbage.",All-or-nothing thinking
"If I can't be happy without medication, I'll never truly be happy.",All-or-nothing thinking
"I either have complete control or everything spirals into chaos.",All-or-nothing thinking
"If I'm not excelling, I'm failing.",All-or-nothing thinking
"Since my start-up didn't take off immediately, I'm not cut out for business.",All-or-nothing thinking
"If my kids aren't perfectly behaved, people will judge me as a terrible parent.",All-or-nothing thinking
"I'm either loved or hated, there's no room for indifference.",All-or-nothing thinking
"If I can't give 100%, I won't give anything.",All-or-nothing thinking
"Since I burned dinner, I'm a terrible cook and always will be.",All-or-nothing thinking
"If I don't finish this today, it'll never get done.",All-or-nothing thinking
"Either my anxiety is completely gone or I'm not getting better.",All-or-nothing thinking
"If I can't have the career of my dreams, any job is settling.",All-or-nothing thinking
"Since I lost this game, I'm clearly bad at sports.",All-or-nothing thinking
"If I'm not always positive, people won't want to be around me.",All-or-nothing thinking
"My entire semester was a waste because I got one bad grade.",All-or-nothing thinking
"If I don't understand this concept immediately, I'll never get it.",All-or-nothing thinking
"Either I belong here or I'm a complete fraud.",All-or-nothing thinking
"If I'm not healing fast enough, the therapy isn't working.",All-or-nothing thinking
"Since I can't be everything my parents wanted, I'm a disappointment to the family.",All-or-nothing thinking
"If I don't look perfect in photos, I must be ugly.",All-or-nothing thinking
"I either have great chemistry with someone or we have nothing in common.",All-or-nothing thinking
"If this job isn't my passion, I'm wasting my life.",All-or-nothing thinking
"Since my code has a bug, the entire program is broken.",All-or-nothing thinking
"If I can't keep up with everyone else, I should just give up.",All-or-nothing thinking
"Either things go my way or the universe is against me.",All-or-nothing thinking
"If I'm not instantly good at this hobby, it's not meant for me.",All-or-nothing thinking
"Since I argued with my partner, our relationship must be falling apart.",All-or-nothing thinking
"If I can't save enough money, I'll always be broke.",All-or-nothing thinking
"My efforts were completely useless since things didn't turn out exactly as planned.",All-or-nothing thinking
"If I'm not someone's best friend, I'm not really their friend at all.",All-or-nothing thinking
"Since I didn't get a standing ovation, my speech must have been boring.",All-or-nothing thinking
"I should be exercising every single day and I hate myself for not doing it.",Should statements
"I shouldn't feel sad because other people have it worse than me.",Should statements
"My kids should always listen to me without questioning anything.",Should statements
"I should have known better than to trust him.",Should statements
"People should always be kind and considerate, and when they're not it infuriates me.",Should statements
"I shouldn't need help, I should be able to handle everything on my own.",Should statements
"My husband should know what I'm feeling without me having to tell him.",Should statements
"I should be further along in my career by now.",Should statements
"I shouldn't be this anxious about something so minor.",Should statements
"My parents should have raised me better.",Should statements
"I should be over this breakup by now, it's been months.",Should statements
"People my age should have their lives figured out by now.",Should statements
"I should always be there for my friends no matter what.",Should statements
"My partner should never raise their voice at me.",Should statements
"I shouldn't eat junk food, I should have more self-control.",Should statements
"My boss should recognize how hard I'm working without me having to say anything.",Should statements
"I should be grateful for what I have and stop complaining.",Should statements
"My children should always make good choices because I raised them right.",Should statements
"I should never get angry because it's not productive.",Should statements
"My doctor should have caught this earlier.",Should statements
"I shouldn't need medication to feel normal.",Should statements
"Everyone should treat others with respect at all times.",Should statements
"I should be able to forgive and forget easily.",Should statements
"My mother-in-law should respect our boundaries without being told.",Should statements
"I should always put others' needs before my own.",Should statements
"Life should be fair and things should work out if you try hard enough.",Should statements
"I shouldn't feel jealous of my friend's success.",Should statements
"My partner should want to spend every free moment with me.",Should statements
"I should have a house and be married by the time I'm thirty.",Should statements
"People shouldn't judge others based on their appearance.",Should statements
"I should be more productive and stop wasting so much time.",Should statements
"My therapist should have a solution for every problem I bring up.",Should statements
"I should always know the right thing to say.",Should statements
"My siblings should help more with taking care of our parents.",Should statements
"I shouldn't be struggling with this because I'm supposed to be smart.",Should statements
"My coworkers should do their fair share of the work.",Should statements
"I should never make mistakes at my job.",Should statements
"People should always follow through on their promises.",Should statements
"I should be a better parent than my parents were.",Should statements
"My friend should have been there for me when I needed her.",Should statements
"I shouldn't feel this way about someone I barely know.",Should statements
"I should have left that relationship years ago.",Should statements
"My teenager should appreciate everything I do for them.",Should statements
"I should be able to handle stress without falling apart.",Should statements
"People should be honest even when the truth is uncomfortable.",Should statements
"I shouldn't need validation from others to feel good about myself.",Should statements
"My partner should never find other people attractive.",Should statements
"I should always have a positive attitude no matter what happens.",Should statements
"My students should be motivated to learn without me having to push them.",Should statements
"I should be saving more money instead of spending on things I enjoy.",Should statements
"Others should see how hard I'm trying and give me credit for it.",Should statements
"I should be able to control my emotions better at my age.",Should statements
"My family should support my decisions even if they disagree.",Should statements
"I shouldn't feel lonely when I have people who care about me.",Should statements
"I should have studied something more practical in college.",Should statements
"My neighbor should keep their yard clean like the rest of us.",Should statements
"I should be able to get over my childhood trauma by now.",Should statements
"People should always say thank you when you do something nice for them.",Should statements
"I should be more like my sister who has everything together.",Should statements
"My ex should at least be civil to me for the sake of the kids.",Should statements
"I shouldn't be this affected by criticism if I'm confident in my work.",Should statements
"My government should be doing more to help people like me.",Should statements
"I should have tried harder to save my marriage.",Should statements
"My friends should make more effort to stay in touch.",Should statements
"I shouldn't still be grieving after all this time.",Should statements
"People should respect my time and not be late to meetings.",Should statements
"I should be the one holding the family together.",Should statements
"My body should look better considering how much I exercise.",Should statements
"I shouldn't complain because at least I have a job.",Should statements
"My adult children should call me more often.",Should statements
"I should always be strong for my family.",Should statements
"I shouldn't need to take breaks when everyone else seems fine.",Should statements
"Life should reward hard work and dedication.",Should statements
"My doctor should spend more time listening to my concerns.",Should statements
"I should be able to juggle work and family without feeling overwhelmed.",Should statements
"People should think before they speak.",Should statements
"I shouldn't be this tired, something must be wrong with me.",Should statements
"My partner should automatically know when I need space.",Should statements
"I should never say no to people who need my help.",Should statements
"My son should be more responsible at his age.",Should statements
"I should have achieved more by the time I turned forty.",Should statements
"Others should appreciate the sacrifices I've made for them.",Should statements
"I shouldn't let small things bother me so much.",Should statements
"My employer should provide better mental health resources.",Should statements
"I should always have an answer when someone asks for advice.",Should statements
"People shouldn't ghost others, it's just rude and disrespectful.",Should statements
"I should be able to do everything my coworkers can do and more.",Should statements
"My parents should have told me about the family problems sooner.",Should statements
"I shouldn't feel this insecure in my relationship.",Should statements
"I should always be happy because I have so much to be thankful for.",Should statements
"My wife should handle the household responsibilities since she works from home.",Should statements
"I should know what I want to do with my life by now.",Should statements
"People should return favors when you've been generous with them.",Should statements
"I should be able to forgive my father for what he did.",Should statements
"My daughter should dress more appropriately for her age.",Should statements
"I should have more friends at this point in my life.",Should statements
"People should mind their own business and stop giving unsolicited advice.",Should statements
"I shouldn't need to remind my partner to do basic chores.",Should statements
"I should be able to sleep without worrying about everything.",Should statements
"My teacher should have been more supportive when I was struggling.",Should statements
"I should always be improving myself and never be complacent.",Should statements
"I keep focusing on the one negative comment even though I got twenty positive ones.",Mental filter
"My boss praised my entire report but pointed out one typo and that's all I can think about.",Mental filter
"Everyone at the party was friendly but one person seemed cold and it ruined my whole night.",Mental filter
"I got a promotion and a raise but I can't stop thinking about the one project that didn't go well.",Mental filter
"My performance review was great but I keep dwelling on the one area that needs improvement.",Mental filter
"Our vacation was wonderful but I keep replaying the argument we had on the second day.",Mental filter
"I have so many good friends but I can't stop thinking about the one who stopped talking to me.",Mental filter
"My students love my class but the one bad evaluation is the only one I remember.",Mental filter
"I've made so much progress in therapy but I keep focusing on the setbacks.",Mental filter
"My wedding was beautiful but all I can think about is that the flowers were wrong.",Mental filter
"I received compliments on my outfit all day but one person looked at me funny and I feel terrible.",Mental filter
"I've been sober for six months but I can only think about the one time I almost relapsed.",Mental filter
"My painting received so much praise at the gallery but one person walked past it without looking.",Mental filter
"I had a great time with friends but I keep replaying the one awkward thing I said.",Mental filter
"My children are healthy and happy but I obsess over the one parenting mistake I made last week.",Mental filter
"I got into four colleges but all I can think about is the one that rejected me.",Mental filter
"My relationship is loving and supportive but I fixate on the one fight we had.",Mental filter
"I successfully ran five miles but I'm upset because I had to stop and walk once.",Mental filter
"My birthday was full of love and celebration but I keep thinking about the one friend who forgot.",Mental filter
"I've accomplished so much this year but I can't stop dwelling on my one failure.",Mental filter
"Everyone enjoyed my cooking but one person didn't finish their plate and I feel like a terrible cook.",Mental filter
"My health has improved dramatically but I focus only on the symptoms that remain.",Mental filter
"I have a great job but I keep thinking about the one coworker who doesn't seem to like me.",Mental filter
"My test scores have been steadily improving but I only notice the questions I got wrong.",Mental filter
"I've been told I'm a good mother but I can only think about the time I lost my temper.",Mental filter
"My presentation went smoothly except for one moment where I lost my train of thought, which is all I remember.",Mental filter
"I have a wonderful life but I zero in on the one thing that isn't going right.",Mental filter
"Everyone laughed at my jokes except one person who looked bored and now I feel unfunny.",Mental filter
"I received praise from nine out of ten judges but I'm devastated by the one low score.",Mental filter
"My album got great reviews but there was one critic who hated it and I can't let it go.",Mental filter
"I've lost twenty pounds but I only see the five more I have to go.",Mental filter
"Our family gathering was warm and joyful but I can't stop thinking about my uncle's rude comment.",Mental filter
"I passed all my exams but I keep replaying the one question I got wrong.",Mental filter
"My partner tells me they love me every day but the one time they forgot is what sticks with me.",Mental filter
"I've been doing well at work for months but the one mistake I made today overshadows everything.",Mental filter
"I received flowers and a heartfelt card but the gift wasn't what I wanted so I feel disappointed.",Mental filter
"My doctor said I'm in great health overall but mentioned one thing to watch and now I'm worried.",Mental filter
"I have a beautiful home but all I see are the things that need fixing.",Mental filter
"My team won the championship but I keep thinking about the pass I missed in the second quarter.",Mental filter
"I made ten sales this week but the one client who said no is the one I think about.",Mental filter
"My children got wonderful report cards but I can only focus on the one subject that needs work.",Mental filter
"Everyone at the dinner party said the food was delicious but someone mentioned the soup was slightly salty and that's all I remember.",Mental filter
"I've had a successful career but I dwell on the one job I didn't get.",Mental filter
"My novel has been well received but the one negative review keeps me up at night.",Mental filter
"I'm surrounded by people who love me but I focus on the one person who left.",Mental filter
"My garden looks beautiful but I can only see the one plant that's dying.",Mental filter
"I completed the marathon but I'm disappointed because my time wasn't what I hoped for.",Mental filter
"My interview went well overall but I keep obsessing over the one question I stumbled on.",Mental filter
"I have so many reasons to be happy but I keep going back to that one painful memory.",Mental filter
"Everyone praised my singing but my voice cracked once and that's the moment I replay.",Mental filter
"My road trip was incredible but I can only think about the flat tire we got.",Mental filter
"I've been getting healthier but I focus on the one day I didn't work out.",Mental filter
"My husband planned a wonderful anniversary dinner but I'm fixated on the fact that he forgot to make a reservation.",Mental filter
"I feel like things will never get better no matter what I do.",Emotional Reasoning
"I feel so stupid so I must actually be stupid.",Emotional Reasoning
"I feel like a burden to everyone around me so I probably am one.",Emotional Reasoning
"I feel guilty about what happened so it must have been my fault.",Emotional Reasoning
"I feel like my partner doesn't love me anymore even though they show me affection every day.",Emotional Reasoning
"I feel anxious about the flight so it must be dangerous.",Emotional Reasoning
"I feel like I don't belong here so I probably don't.",Emotional Reasoning
"I feel overwhelmed so my life must be out of control.",Emotional Reasoning
"I feel angry at my friend so they must have done something wrong to me.",Emotional Reasoning
"I feel like a fraud at work so I must not deserve my position.",Emotional Reasoning
"I feel uncomfortable around him so he must be a bad person.",Emotional Reasoning
"I feel like nobody cares about me so it must be true.",Emotional Reasoning
"I feel hopeless about the future so things must really be hopeless.",Emotional Reasoning
"I feel jealous of her so she must be better than me in every way.",Emotional Reasoning
"I feel like I'm going crazy so I probably am losing my mind.",Emotional Reasoning
"I feel ashamed of myself so I must be a shameful person.",Emotional Reasoning
"I feel like I can't do anything right so I must be incompetent.",Emotional Reasoning
"I feel unlovable so no one could ever truly love me.",Emotional Reasoning
"I feel scared about this new job so it must be a mistake to take it.",Emotional Reasoning
"I feel like everyone is judging me so they must be.",Emotional Reasoning
"I feel insecure about my body so I must be unattractive.",Emotional Reasoning
"I feel like my marriage is falling apart even though my spouse says everything is fine.",Emotional Reasoning
"I feel so sad today that I know something terrible is about to happen.",Emotional Reasoning
"I feel disconnected from my kids so I must be a bad parent.",Emotional Reasoning
"I feel nervous about public speaking so I must be bad at it.",Emotional Reasoning
"I feel like I'm failing at life so I must be a failure.",Emotional Reasoning
"I feel unwanted at this party so nobody must want me here.",Emotional Reasoning
"I feel dread about tomorrow's meeting so something bad will definitely happen.",Emotional Reasoning
"I feel like my therapist is judging me so they probably think I'm a mess.",Emotional Reasoning
"I feel guilty when I take time for myself so self-care must be selfish.",Emotional Reasoning
"I feel like something bad is going to happen so it probably will.",Emotional Reasoning
"I feel ugly today so I must look terrible to everyone.",Emotional Reasoning
"I feel like I don't matter to anyone so I probably don't.",Emotional Reasoning
"I feel suffocated in this relationship so it must be toxic.",Emotional Reasoning
"I feel defeated so there's obviously no point in continuing to try.",Emotional Reasoning
"I feel embarrassed about what I said so everyone must think I'm an idiot.",Emotional Reasoning
"I feel lonely even when I'm with people so something must be wrong with me.",Emotional Reasoning
"I feel like I'll never be happy again because I haven't been happy lately.",Emotional Reasoning
"I feel like people are talking behind my back because I sense it.",Emotional Reasoning
"I feel worthless so I must not have any value as a person.",Emotional Reasoning
"I feel panicky on this bridge so bridges must be dangerous.",Emotional Reasoning
"I feel like my doctor is hiding something from me because I have a bad gut feeling.",Emotional Reasoning
"I feel resentful toward my sister so she must have wronged me.",Emotional Reasoning
"I feel like I'm bothering people when I reach out so I must be annoying.",Emotional Reasoning
"I feel unsafe in my neighborhood even though crime rates are low here.",Emotional Reasoning
"I feel like giving up on my dreams because it feels pointless.",Emotional Reasoning
"I feel so anxious that something must actually be wrong with me physically.",Emotional Reasoning
"I feel like my kids are pulling away from me so they must not love me anymore.",Emotional Reasoning
"I feel inadequate compared to my coworkers so I must be the weakest one on the team.",Emotional Reasoning
"I feel trapped in my life so there must be no way out.",Emotional Reasoning
"I feel like a bad person after what happened so I must be one.",Emotional Reasoning
"I feel suspicious of my partner so they must be hiding something.",Emotional Reasoning
"I feel confused so I must not be smart enough to understand this.",Emotional Reasoning
"I feel like I'm drowning in responsibilities so my life must be harder than everyone else's.",Emotional Reasoning
"I feel disappointed in myself so I must be a disappointment to others too.",Emotional Reasoning
"I feel terrified of losing my job so I'm probably about to get fired.",Emotional Reasoning
"I feel like everything is falling apart because that's how it feels inside me.",Emotional Reasoning
"I feel like I can't trust anyone so people must be untrustworthy.",Emotional Reasoning
"I feel empty inside so my life must have no meaning.",Emotional Reasoning
"I feel regret about my choices so I must have made all the wrong decisions.",Emotional Reasoning
"I feel so overwhelmed that I know I can't handle this.",Emotional Reasoning
"I know something bad will happen if I go to that party.",Fortune-telling
"I'll probably get rejected if I apply for that job so why bother.",Fortune-telling
"If I speak up in the meeting, everyone will think I'm dumb.",Fortune-telling
"This relationship is going to end just like all my other ones.",Fortune-telling
"I'll never find someone who truly loves me.",Fortune-telling
"If I try this new thing, I'm sure I'll fail at it.",Fortune-telling
"My kids are going to grow up and resent me for the choices I've made.",Fortune-telling
"I just know the test results are going to come back positive for something bad.",Fortune-telling
"If I open up to people, they'll eventually leave me.",Fortune-telling
"I'm going to embarrass myself at the presentation tomorrow, I just know it.",Fortune-telling
"Things are going well right now but I know it won't last.",Fortune-telling
"If I ask for a raise, my boss will say no and think less of me.",Fortune-telling
"I'll never be able to afford a house in this economy.",Fortune-telling
"This new medication won't work just like all the others didn't.",Fortune-telling
"If I go to the reunion, everyone will see how little I've accomplished.",Fortune-telling
"My anxiety will never go away, I'll be dealing with this forever.",Fortune-telling
"If I start dating again, I'll just get hurt.",Fortune-telling
"I know my friends will forget about me once they have kids.",Fortune-telling
"I'll never be able to lose this weight no matter what I try.",Fortune-telling
"If I confront my mother about this, it will destroy our relationship.",Fortune-telling
"I'm going to mess up this interview, I can already feel it.",Fortune-telling
"My depression will come back, it always does.",Fortune-telling
"If I tell my partner how I really feel, they'll leave me.",Fortune-telling
"I'll never get promoted because they don't value me here.",Fortune-telling
"This surgery is going to go wrong, I just have a feeling.",Fortune-telling
"If I let my guard down, people will take advantage of me.",Fortune-telling
"I'm going to end up alone because nobody sticks around.",Fortune-telling
"My business idea will fail because most businesses do.",Fortune-telling
"If I move to a new city, I won't be able to make friends.",Fortune-telling
"I know my daughter is going to get into trouble if she goes to that school.",Fortune-telling
"I'll probably have the same health problems my parents had.",Fortune-telling
"If I stop checking on things constantly, something terrible will happen.",Fortune-telling
"My marriage will eventually fall apart because that's what happens.",Fortune-telling
"I'll never recover from this heartbreak.",Fortune-telling
"If I try to stand up for myself, people will think I'm difficult.",Fortune-telling
"I know they're going to cancel our plans last minute like they always do.",Fortune-telling
"I'll fail this class no matter how hard I study.",Fortune-telling
"If I go back to school at my age, I'll be the oldest person there and everyone will judge me.",Fortune-telling
"This investment is going to lose money, I just know it.",Fortune-telling
"My son is going to get hurt if he plays that sport.",Fortune-telling
"I'll never be as successful as my brother.",Fortune-telling
"If I try therapy again, it won't work this time either.",Fortune-telling
"I know my coworkers will talk about me if I call in sick.",Fortune-telling
"I'm going to have a panic attack at the concert, I should just stay home.",Fortune-telling
"If I let anyone get close to me, they'll see how broken I am and run.",Fortune-telling
"My landlord is probably going to raise the rent and I'll have to move.",Fortune-telling
"I'll never be happy in a relationship because I'm too damaged.",Fortune-telling
"If I try to make new friends at my age, they won't be interested.",Fortune-telling
"I know this cold is going to turn into pneumonia.",Fortune-telling
"My retirement savings won't be enough and I'll end up struggling.",Fortune-telling
"If I take this risk, everything will fall apart.",Fortune-telling
"I'm going to disappoint my parents no matter what career I choose.",Fortune-telling
"This job will be just as miserable as the last one.",Fortune-telling
"If I don't constantly worry about my kids, something bad will happen to them.",Fortune-telling
"I'll never learn to manage my anger, it's just who I am.",Fortune-telling
"My health is going to deteriorate as I get older and there's nothing I can do.",Fortune-telling
"If I share my creative work, people will tear it apart.",Fortune-telling
"I know this good streak can't last, something bad is coming.",Fortune-telling
"I'll probably get into a car accident if I drive in this weather.",Fortune-telling
"If I talk to my neighbor about the noise, it will start a feud.",Fortune-telling
"My grades are going to drop next semester, I can feel it.",Fortune-telling
"I know I'll never find a job that actually fulfills me.",Fortune-telling
"If I stop worrying about everything, things will actually go wrong.",Fortune-telling
"I'm going to be stuck in this dead-end job forever.",Fortune-telling
"This therapist will give up on me like the last one did.",Fortune-telling
"If I forgive them, they'll just hurt me again.",Fortune-telling
"I'll never be able to trust anyone after what my ex did to me.",Fortune-telling
"The relationship problems my parents had are going to happen to me too.",Fortune-telling
"If I start exercising, I'll probably get injured.",Fortune-telling
"I know once I turn forty everything will start falling apart.",Fortune-telling
"My children are going to make the same mistakes I made.",Fortune-telling
"If I change careers now, I'll regret it.",Fortune-telling
"I'll always be the person people forget to invite.",Fortune-telling
"Everything that's happened is my fault, if I had been a better partner they wouldn't have left.",Personalization
"My parents got divorced because I was such a difficult child.",Personalization
"My friend is upset and it must be because of something I did.",Personalization
"The project failed because I wasn't good enough to lead it.",Personalization
"When my kids act out at school, it's because I'm a bad parent.",Personalization
"My coworker was short with me today, I must have done something to upset them.",Personalization
"If I had been there, the accident wouldn't have happened.",Personalization
"My team lost the game because I missed that one shot.",Personalization
"My mother's depression is worse because I moved away.",Personalization
"The dinner party was awkward and it's probably because I was there.",Personalization
"My friend didn't get the job because I gave them bad advice.",Personalization
"My partner is stressed because I'm not doing enough around the house.",Personalization
"The group project got a bad grade and it's because of my section.",Personalization
"My child is struggling in school because I don't help them enough.",Personalization
"My dad had a heart attack because I caused him so much stress over the years.",Personalization
"The family argument at Thanksgiving was my fault for bringing up that topic.",Personalization
"If I had been a better friend, they wouldn't have turned to drugs.",Personalization
"My therapist seems tired today, I must be exhausting to deal with.",Personalization
"Our marriage is falling apart because I'm not trying hard enough.",Personalization
"My dog ran away because I wasn't attentive enough.",Personalization
"My sister's eating disorder started because I used to tease her about her weight.",Personalization
"The meeting went poorly because I didn't prepare well enough.",Personalization
"If only I had paid more attention, my grandmother's fall could have been prevented.",Personalization
"My boss is in a bad mood and it's probably because of the report I submitted.",Personalization
"The rain ruined the outdoor party I planned, I should have checked the weather more carefully.",Personalization
"My son didn't make the team because I didn't practice with him enough.",Personalization
"My best friend and I are growing apart because I'm not interesting enough.",Personalization
"The customer complained because I didn't do a good enough job.",Personalization
"My husband's drinking got worse after we got married so it must be because of me.",Personalization
"My student failed the test because I didn't teach the material well enough.",Personalization
"My mother is lonely because I don't visit her enough.",Personalization
"If I hadn't moved to this city, my relationship wouldn't have ended.",Personalization
"My coworkers don't like me and that's why the team isn't performing well.",Personalization
"My child was bullied and it's my fault for not teaching them to stand up for themselves.",Personalization
"The company is going through layoffs and I feel like it's somehow because of my performance.",Personalization
"My friend group drifted apart because I wasn't a good enough friend to hold us together.",Personalization
